ICAO	Latitude	Longitude
CYSD	0.000	0.000
CYSF	0.000	0.000
CYSJ	45.316	-65.890
CYSK	0.000	0.000
CYSM	60.022	-111.960
CYSR	72.982	-84.614
CYSS	0.000	0.000
CYSU	46.443	-63.831
CYSY	71.994	-125.243
CYTC	0.000	0.000
CYTE	64.230	-76.527
CYTH	55.801	-97.864
CYTL	0.000	0.000
CYTR	44.119	-77.528
CYTS	48.570	-81.377
CYTZ	43.627	-79.396
CYUA	0.000	0.000
CYUB	69.433	-133.026
CYUC	0.000	0.000
CYUF	0.000	0.000
CYUH	0.000	0.000
CYUI	0.000	0.000
CYUJ	0.000	0.000
CYUK	0.000	0.000
CYUL	45.468	-73.741
CYUQ	0.000	0.000
CYUR	0.000	0.000
CYUS	0.000	0.000
CYUT	66.521	-86.225
CYUX	68.776	-81.244
CYUY	48.206	-78.836
CYVC	55.151	-105.262
CYVG	53.356	-110.824
CYVM	67.546	-64.031
CYVN	0.000	0.000
CYVO	48.053	-77.783
CYVP	58.096	-68.427
CYVQ	65.282	-126.800
CYVR	49.195	-123.182
CYVT	55.842	-108.418
CYVV	44.746	-81.107
CYWA	45.952	-77.319
CYWG	49.910	-97.234
CYWK	52.922	-66.864
CYWL	52.183	-122.054
CYWO	0.000	0.000
CYWR	0.000	0.000
CYWY	63.209	-123.437
CYXC	49.610	-115.782
CYXD	53.573	-113.521
CYXE	52.171	-106.700
CYXH	50.019	-110.721
CYXI	0.000	0.000
CYXJ	56.238	-120.740
CYXL	50.114	-91.904
CYXN	0.000	0.000
CYXP	66.145	-65.714
CYXR	47.695	-79.849
CYXS	53.889	-122.679
CYXT	54.466	-128.577
CYXU	43.036	-81.154
CYXX	49.025	-122.363
CYXY	60.709	-135.068
CYYB	46.364	-79.423
CYYC	51.114	-114.020
CYYD	54.825	-127.183
CYYE	58.836	-122.597
CYYF	49.463	-119.602
CYYG	46.290	-63.121
CYYH	69.547	-93.577
CYYJ	48.647	-123.426
CYYL	56.864	-101.076
CYYN	50.292	-107.691
CYYQ	58.739	-94.065
CYYR	53.319	-60.426
CYYT	47.619	-52.752
CYYU	49.414	-82.468
CYYW	50.290	-88.910
CYYY	48.609	-68.208
CYYZ	43.677	-79.631
CYZA	0.000	0.000
CYZD	43.742	-79.466
CYZE	45.885	-82.568
CYZF	62.463	-114.440
CYZH	55.293	-114.778
CYZP	53.254	-131.814
CYZR	42.999	-82.309
CYZT	50.681	-127.367
CYZU	54.144	-115.787
CYZV	50.223	-66.266
CYZW	60.173	-132.743
CYZX	44.984	-64.917
CZFA	62.208	-133.376
CZFM	67.408	-134.860
CZNB	0.000	0.000
CZUE	0.000	0.000
DAAB	36.504	2.814
DAAD	35.333	4.206
DAAE	36.712	5.070
DAAF	0.000	0.000
DAAG	36.691	3.215
DAAJ	24.293	9.452
DAAK	36.546	2.876
DAAM	36.109	6.364
DAAN	26.710	0.286
DAAP	26.573	8.484
DAAQ	35.525	2.879
DAAS	36.178	5.324
DAAT	22.811	5.451
DAAV	36.795	5.873
DAAW	0.000	0.000
DAAX	0.000	0.000
DAAY	33.536	-0.242
DAAZ	35.752	0.626
DABB	36.822	7.809
DABC	36.277	6.624
DABP	0.000	0.000
DABS	35.431	8.121
DABT	0.000	0.000
DADF	0.000	0.000
DAFH	32.930	3.312
DAFI	0.000	0.000
DAOB	35.341	1.463
DAOC	0.000	0.000
DAOE	35.735	-0.805
DAOF	27.700	-8.167
DAOI	36.213	1.332
DAOL	35.542	-0.532
DAON	35.017	-1.450
DAOO	35.624	-0.621
DAOS	35.172	-0.593
DAOV	35.208	0.147
DASM	0.000	0.000
DATG	0.000	0.000
DATM	0.000	0.000
DAUA	27.837	-0.186
DAUB	34.793	5.738
DAUE	30.571	2.859
DAUG	32.384	3.794
DAUH	31.673	6.140
DAUI	27.251	2.512
DAUK	33.068	6.089
DAUL	33.764	2.927
DAUT	29.237	0.276
DAUU	31.917	5.413
DAUZ	28.051	9.643
DBBB	6.357	2.384
DBBC	0.000	0.000
DBBD	0.000	0.000
DBBK	0.000	0.000
DBBN	0.000	0.000
DBBO	0.000	0.000
DBBP	9.357	2.609
DBBR	0.000	0.000
DBBS	0.000	0.000
DFCA	0.000	0.000
DFCB	0.000	0.000
DFCC	0.000	0.000
DFCD	0.000	0.000
DFCE	0.000	0.000
DFCG	0.000	0.000
DFCI	0.000	0.000
DFCJ	0.000	0.000
DFCK	0.000	0.000
DFCL	0.000	0.000
DFCM	0.000	0.000
DFCO	0.000	0.000
DFCP	0.000	0.000
DFCR	0.000	0.000
DFCS	0.000	0.000
DFCT	0.000	0.000
DFCU	0.000	0.000
DFCY	0.000	0.000
DFEA	0.000	0.000
DFEB	0.000	0.000
DFEC	0.000	0.000
DFED	0.000	0.000
DFEE	0.000	0.000
DFEF	0.000	0.000
DFEG	0.000	0.000
DFEK	0.000	0.000
DFEL	0.000	0.000
DFEM	0.000	0.000
DFEO	0.000	0.000
DFEP	0.000	0.000
DFER	0.000	0.000
DFES	0.000	0.000
DFET	0.000	0.000
DFEY	0.000	0.000
DFEZ	0.000	0.000
DFFD	12.353	-1.512
DFOA	0.000	0.000
DFOB	0.000	0.000
DFOD	0.000	0.000
DFOF	0.000	0.000
DFOG	0.000	0.000
DFOH	0.000	0.000
DFOL	0.000	0.000
DFON	0.000	0.000
DFOO	11.160	-4.331
DFOR	0.000	0.000
DFOS	0.000	0.000
DFOT	0.000	0.000
DFOU	0.000	0.000
DFOY	0.000	0.000
DGAA	5.603	-0.168
DGAD	0.000	0.000
DGAH	0.000	0.000
DGAK	0.000	0.000
DGAL	0.000	0.000
DGAS	0.000	0.000
DGAT	0.000	0.000
DGCY	0.000	0.000
DGKA	0.000	0.000
DGKK	0.000	0.000
DGLB	0.000	0.000
DGLE	9.563	-0.863
DGLN	0.000	0.000
DGLW	10.082	-2.507
DGLY	0.000	0.000
DGSB	0.000	0.000
DGSN	7.362	-2.329
DGSW	0.000	0.000
DGTK	4.893	-1.775
DGTX	0.000	0.000
DIAD	0.000	0.000
DIAE	0.000	0.000
DIAO	0.000	0.000
DIAP	5.260	-3.926
DIAU	0.000	0.000
DIBC	0.000	0.000
DIBI	0.000	0.000
DIBK	7.739	-5.074
DIBN	0.000	0.000
DIBU	0.000	0.000
DIDB	0.000	0.000
DIDK	0.000	0.000
DIDL	6.792	-6.473
DIDV	0.000	0.000
DIFK	0.000	0.000
DIGA	0.000	0.000
DIGL	0.000	0.000
DIGN	0.000	0.000
DIKO	9.387	-5.556
DIMN	7.272	-7.587
DIOD	0.000	0.000
DIOF	0.000	0.000
DIPG	0.000	0.000
DISG	0.000	0.000
DISP	4.747	-6.661
DISS	0.000	0.000
DITB	0.000	0.000
DITM	0.000	0.000
DIYO	6.903	-5.366
DNAA	9.007	7.263
DNAK	7.247	5.301
DNBE	6.317	5.599
DNBI	0.000	0.000
DNCA	4.976	8.347
DNEN	6.474	7.562
DNGU	12.172	6.696
DNIB	7.362	3.978
DNIL	8.440	4.494
DNJO	9.640	8.869
DNKA	10.696	7.320
DNKN	12.047	8.524
DNMA	11.855	13.081
DNMK	7.704	8.614
DNMM	6.577	3.321
DNMN	9.652	6.462
DNOS	0.000	0.000
DNPO	5.015	6.949
DNSO	12.916	5.207
DNYO	9.260	12.430
DNZA	11.130	7.686
DRRA	0.000	0.000
DRRC	0.000	0.000
DRRD	0.000	0.000
DRRE	0.000	0.000
DRRG	0.000	0.000
DRRI	0.000	0.000
DRRL	0.000	0.000
DRRM	13.502	7.127
DRRN	13.481	2.184
DRRP	0.000	0.000
DRRT	14.876	5.265
DRRU	0.000	0.000
DRZA	16.965	7.997
DRZD	18.969	12.869
DRZF	13.373	12.627
DRZG	0.000	0.000
DRZI	0.000	0.000
DRZL	0.000	0.000
DRZM	0.000	0.000
DRZN	0.000	0.000
DRZR	13.779	8.984
DRZT	14.999	8.767
DSGI	0.000	0.000
DTMB	35.758	10.755
DTTA	36.851	10.227
DTTB	37.245	9.791
DTTD	32.306	10.382
DTTF	34.422	8.822
DTTG	33.877	10.103
DTTI	36.721	9.943
DTTJ	33.875	10.775
DTTK	0.000	0.000
DTTL	0.000	0.000
DTTN	0.000	0.000
DTTR	31.704	9.254
DTTX	34.718	10.691
DTTZ	33.940	8.111
DXAK	0.000	0.000
DXBS	0.000	0.000
DXDP	0.000	0.000
DXHO	0.000	0.000
DXKP	0.000	0.000
DXMG	0.000	0.000
DXNG	9.767	1.091
DXSK	0.000	0.000
DXTA	0.000	0.000
DXXX	6.166	1.254
EBAM	0.000	0.000
EBAW	51.190	4.463
EBBE	50.759	4.768
EBBL	51.168	5.471
EBBR	50.902	4.499
EBBT	51.333	4.500
EBBX	49.887	5.229
EBCI	50.459	4.454
EBCV	50.576	3.831
EBFN	51.090	2.653
EBFS	50.244	4.649
EBGB	0.000	0.000
EBGL	0.000	0.000
EBHN	0.000	0.000
EBKH	0.000	0.000
EBKT	50.818	3.208
EBLB	0.000	0.000
EBLG	50.637	5.443
EBMB	0.000	0.000
EBMO	0.000	0.000
EBMT	0.000	0.000
EBNM	0.000	0.000
EBOS	51.199	2.862
EBSH	0.000	0.000
EBSL	50.948	5.592
EBSP	0.000	0.000
EBST	50.788	5.193
EBSU	0.000	0.000
EBSZ	0.000	0.000
EBTN	0.000	0.000
EBTX	0.000	0.000
EBTY	0.000	0.000
EBUL	51.144	3.474
EBWE	51.395	4.961
EBZH	0.000	0.000
EBZR	51.266	4.755
EBZW	0.000	0.000
EDAB	51.193	14.520
EDAC	50.982	12.506
EDAD	51.832	12.186
EDAE	52.197	14.586
EDAF	0.000	0.000
EDAG	0.000	0.000
EDAH	53.879	14.152
EDAJ	0.000	0.000
EDAK	51.308	13.555
EDAL	0.000	0.000
EDAM	51.363	11.941
EDAN	0.000	0.000
EDAO	0.000	0.000
EDAP	0.000	0.000
EDAQ	51.552	12.053
EDAR	0.000	0.000
EDAT	0.000	0.000
EDAU	51.294	13.359
EDAW	0.000	0.000
EDAX	53.306	12.753
EDAY	52.580	13.916
EDAZ	52.203	13.159
EDBA	0.000	0.000
EDBB	0.000	0.000
EDBC	51.856	11.418
EDBD	0.000	0.000
EDBF	0.000	0.000
EDBG	35.461	-77.965
EDBH	54.338	12.710
EDBI	0.000	0.000
EDBJ	50.917	11.714
EDBK	52.919	12.425
EDBL	0.000	0.000
EDBM	52.074	11.626
EDBN	51.328	12.657
EDBO	0.000	0.000
EDBP	0.000	0.000
EDBR	51.364	14.952
EDBS	0.000	0.000
EDBX	0.000	0.000
EDCA	53.833	13.669
EDCB	0.000	0.000
EDCD	51.889	14.532
EDCE	0.000	0.000
EDCF	0.000	0.000
