ICAO,IATA,NOM,TAILLE,PAYS,CITE
NTGA,AAA,Anaa,Mediumairport, French Polynesia,
YARY,AAB,Arrabury,Smallairport, Australia,
HEAR,AAC,El Arish International,Mediumairport, Egypt, El Arish
,AAD,Ad-Dabbah,Closed, Sudan, Ad-Dabbah
DABB,AAE,Rabah Bitat,Mediumairport, Algeria, Annaba
KAAF,AAF,Apalachicola Regional,Smallairport, United States, Apalachicola
SSYA,AAG,Arapoti,Smallairport, Brazil, Arapoti
EDKA,AAH,Aachen-Merzbrück,Smallairport, Germany, Aachen
SWRA,AAI,Arraias,Smallairport, Brazil, Arraias
SMCA,AAJ,Cayana Airstrip,Smallairport, Suriname, Awaradam
NGUK,AAK,Buariki,Smallairport, Kiribati, Buariki
EKYT,AAL,Aalborg,Largeairport, Denmark, Aalborg
FAMD,AAM,Malamala,Mediumairport, South Africa, Malamala
OMAL,AAN,Al Ain International,Mediumairport, United Arab Emirates, Al Ain
SVAN,AAO,Anaco,Mediumairport, Venezuela, Anaco
KAAP,AAP,Andrau Airpark,Closed, United States, Houston
URKA,AAQ,Anapa Vityazevo,Mediumairport, Russia, Anapa
EKAH,AAR,Aarhus,Mediumairport, Denmark, Aarhus
,AAS,Apalapsili,Smallairport, Indonesia, Apalapsili
ZWAT,AAT,Altay Air Base,Mediumairport, China, Altay
NSAU,AAU,Asau,Smallairport, Samoa, Asau
RPMA,AAV,Allah Valley,Mediumairport, Philippines, Surallah
OPAB,AAW,Abbottabad,Smallairport, Pakistan, Abbottabad
SBAX,AAX,Romeu Zema,Smallairport, Brazil, Araxá
OYGD,AAY,Al Ghaidah International,Mediumairport, Yemen,
MGQZ,AAZ,Quezaltenango,Smallairport, Guatemala, Quezaltenango
UNAA,ABA,Abakan,Mediumairport, Russia, Abakan
DNAS,ABB,Asaba International,Mediumairport, Nigeria, Asaba
LEAB,ABC,Albacete-Los Llanos,Mediumairport, Spain, Albacete
OIAA,ABD,Abadan,Mediumairport, Iran, Abadan
KABE,ABE,Lehigh Valley International,Mediumairport, United States, Allentown
NGAB,ABF,Abaiang,Smallairport, Kiribati, Abaiang
YABI,ABG,Abingdon Downs,Smallairport, Australia,
YAPH,ABH,Alpha,Mediumairport, Australia, Alpha
KABI,ABI,Abilene Regional,Mediumairport, United States, Abilene
DIAP,ABJ,Port Bouet,Mediumairport, Côte d'Ivoire, Abidjan
HAKD,ABK,Kabri Dehar,Smallairport, Ethiopia, Kabri Dehar
PAFM,ABL,Ambler,Mediumairport, United States, Ambler
YNPE,ABM,Northern Peninsula,Smallairport, Australia, Bamaga
SMBN,ABN,Albina,Smallairport, Suriname, Albina
,ABO,Aboisso,Closed, Côte d'Ivoire, Aboisso
KABQ,ABQ,Albuquerque International Sunport,Largeairport, United States, Albuquerque
KABR,ABR,Aberdeen Regional,Mediumairport, United States, Aberdeen
HEBL,ABS,Abu Simbel,Mediumairport, Egypt, Abu Simbel
OEBA,ABT,Al Baha,Mediumairport, Saudi Arabia,
WATA,ABU,Haliwen,Smallairport, Indonesia, Atambua-Timor Island
DNAA,ABV,Nnamdi Azikiwe International,Largeairport, Nigeria, Abuja
,ABW,Abau,Closed, Papua New Guinea, Abau
YMAY,ABX,Albury,Mediumairport, Australia, Albury
KABY,ABY,Southwest Georgia Regional,Mediumairport, United States, Albany
EGPD,ABZ,Aberdeen Dyce,Largeairport, United Kingdom, Aberdeen
MMAA,ACA,General Juan N Alvarez International,Largeairport, Mexico, Acapulco
KACB,ACB,Antrim County,Smallairport, United States, Bellaire
DGAA,ACC,Kotoka International,Largeairport, Ghana, Accra
SKAD,ACD,Alcides Fernández,Smallairport, Colombia, Acandí
GCRR,ACE,Lanzarote,Mediumairport, Spain, Lanzarote Island
YBAF,ACF,Brisbane Archerfield,Smallairport, Australia, Brisbane
LSZR,ACH,St Gallen Altenrhein,Mediumairport, Switzerland, Altenrhein
EGJA,ACI,Alderney,Mediumairport, Guernsey, Saint Anne
VCCA,ACJ,Anuradhapura Air Force Base,Mediumairport, Sri Lanka, Anuradhapura
KACK,ACK,Nantucket Memorial,Mediumairport, United States, Nantucket
,ACL,Aguaclara,Smallairport, Colombia, Aguaclara
,ACM,Arica,Smallairport, Colombia, Arica
MMCC,ACN,Ciudad Acuña New International,Smallairport, Mexico, Ciudad Acuña
LSZD,ACO,Ascona,Closed, Switzerland, Ascona
OITM,ACP,Sahand,Smallairport, Iran, Maragheh
SKAC,ACR,Araracuara,Smallairport, Colombia, Araracuara
UNKS,ACS,Achinsk,Mediumairport, Russia, Achinsk
KACT,ACT,Waco Regional,Mediumairport, United States, Waco
,ACU,Achutupo,Smallairport, Panama, Achutupo
KACV,ACV,Arcata,Mediumairport, United States, Arcata/Eureka
ZUYI,ACX,Xingyi,Mediumairport, China, Xingyi
KACY,ACY,Atlantic City International,Mediumairport, United States, Atlantic City
OIZB,ACZ,Zabol,Mediumairport, Iran,
LTAF,ADA,Adana,Largeairport, Turkey, Adana
LTBJ,ADB,Adnan Menderes International,Largeairport, Turkey, İzmir
HAAB,ADD,Addis Ababa Bole International,Largeairport, Ethiopia, Addis Ababa
OYAA,ADE,Aden International,Mediumairport, Yemen, Aden
LTCP,ADF,Adıyaman,Mediumairport, Turkey, Adıyaman
KADG,ADG,Lenawee County,Smallairport, United States, Adrian
UEEA,ADH,Aldan,Smallairport, Russia, Aldan
FYAR,ADI,Arandis,Mediumairport, Namibia, Arandis
OJAM,ADJ,Amman-Marka International,Mediumairport, Jordan, Amman
PADK,ADK,Adak,Mediumairport, United States, Adak Island
YPAD,ADL,Adelaide International,Mediumairport, Australia, Adelaide
KADM,ADM,Ardmore Municipal,Smallairport, United States, Ardmore
SKAN,ADN,Andes,Smallairport, Colombia, Andes
YAMK,ADO,Andamooka,Smallairport, Australia,
VCCG,ADP,Ampara,Mediumairport, Sri Lanka, Ampara
PADQ,ADQ,Kodiak,Mediumairport, United States, Kodiak
KPHH,ADR,Robert F Swinnie,Smallairport, United States, Andrews
KADS,ADS,Addison,Smallairport, United States, Dallas
KADH,ADT,Ada Regional,Smallairport, United States, Ada
OITL,ADU,Ardabil,Mediumairport, Iran, Ardabil
KADW,ADW,Andrews Air Force Base,Largeairport, United States, Camp Springs
EGQL,ADX,RAF Leuchars,Mediumairport, United Kingdom, St. Andrews
FAAL,ADY,Alldays,Smallairport, South Africa, Alldays
SKSP,ADZ,Gustavo Rojas Pinilla International,Mediumairport, Colombia, San Andrés
NGTB,AEA,Abemama Atoll,Smallairport, Kiribati, Abemama Atoll
ZGBS,AEB,Baise Youjiang,Mediumairport, China, Baise
,AED,Aleneva,Closed, United States, Aleneva
,AEE,Adareil,Smallairport, South Sudan,
WIME,AEG,Aek Godang,Mediumairport, Indonesia, Padang Sidempuan-Sumatra Island
FTTC,AEH,Abeche,Mediumairport, Chad,
LEAG,AEI,Algeciras,Heliport, Spain, Algeciras
AYAX,AEK,Aseki,Smallairport, Papua New Guinea, Aseki
KAEL,AEL,Albert Lea Municipal,Smallairport, United States, Albert Lea
GQNA,AEO,Aioun el Atrouss,Smallairport, Mauritania, Aioun El Atrouss
SABE,AEP,Jorge Newbery Airpark,Mediumairport, Argentina, Buenos Aires
URSS,AER,Sochi International,Largeairport, Russia, Sochi
ENAL,AES,Ålesund,Mediumairport, Norway, Ålesund
PFAL,AET,Allakaket,Smallairport, United States, Allakaket
OIBA,AEU,Abumusa Island,Mediumairport, Iran,
KAEX,AEX,Alexandria International,Mediumairport, United States, Alexandria
BIAR,AEY,Akureyri,Mediumairport, Iceland, Akureyri
SAMR,AFA,Suboficial Ay Santiago Germano,Mediumairport, Argentina, San Rafael
FAPA,AFD,Port Alfred,Smallairport, South Africa, Port Alfred
KAFF,AFF,USAF Academy Airfield,Smallairport, United States, Colorado Springs
SKAM,AFI,Amalfi,Smallairport, Colombia, Amalfi
,AFK,Kondavattavana Tank,Seaplanebase, Sri Lanka, Ampara
SBAT,AFL,Piloto Osvaldo Marques Dias,Mediumairport, Brazil, Alta Floresta
KAFN,AFN,Jaffrey Silver Ranch,Smallairport, United States, Jaffrey
KAFO,AFO,Afton Municipal,Smallairport, United States, Afton
AYAF,AFR,Afore Airstrip,Smallairport, Papua New Guinea,
UTSN,AFS,Sugraly,Smallairport, Uzbekistan, Zarafshan
AGAF,AFT,Afutara Aerodrome,Smallairport, Solomon Islands, Bila
KAFW,AFW,Fort Worth Alliance,Largeairport, United States, Fort Worth
LTAH,AFY,Afyon,Mediumairport, Turkey, Afyonkarahisar
OIMS,AFZ,Sabzevar National,Mediumairport, Iran, Sabzevar
GMAD,AGA,Al Massira,Mediumairport, Morocco, Agadir
EDMA,AGB,Augsburg,Mediumairport, Germany, Augsburg
KAGC,AGC,Allegheny County,Mediumairport, United States, Pittsburgh
WASG,AGD,Anggi,Smallairport, Indonesia, Anggi-Papua Island
EDWG,AGE,Wangerooge,Smallairport, Germany, Wangerooge
LFBA,AGF,Agen-La Garenne,Mediumairport, France, Agen/La Garenne
,AGG,Angoram,Smallairport, Papua New Guinea, Angoram
ESTA,AGH,Ängelholm-Helsingborg,Mediumairport, Sweden, Ängelholm
SMWA,AGI,Wageningen Airstrip,Smallairport, Suriname, Wageningen
RORA,AGJ,Aguni,Smallairport, Japan, Aguni
,AGK,Kagua,Smallairport, Papua New Guinea, Kagua
AYWG,AGL,Wanigela,Smallairport, Papua New Guinea,
BGAM,AGM,Tasiilaq,Heliport, Greenland, Tasiilaq
PAGN,AGN,Angoon,Seaplanebase, United States, Angoon
KAGO,AGO,Magnolia Municipal,Smallairport, United States, Magnolia
LEMG,AGP,Málaga,Largeairport, Spain, Málaga
LGAG,AGQ,Agrinion Air Base,Closed, Greece, Agrinion
VIAG,AGR,Agra,Mediumairport, India,
KAGS,AGS,Augusta Regional At Bush Field,Largeairport, United States, Augusta
SGES,AGT,Guarani International,Mediumairport, Paraguay, Ciudad del Este
MMAS,AGU,Jesús Terán Paredo International,Mediumairport, Mexico, Aguascalientes
SVAC,AGV,Oswaldo Guevara Mujica,Mediumairport, Venezuela, Acarigua
,AGW,Agnew,Smallairport, Australia, Agnew
VOAT,AGX,Agatti,Mediumairport, India,
,AGY,Argyle Downs,Closed, Australia, Argyle Downs
FAAG,AGZ,Aggeneys,Mediumairport, South Africa, Aggeneys
OEAB,AHB,Abha Regional,Mediumairport, Saudi Arabia, Abha
KAHC,AHC,Amedee Army Air Field,Smallairport, United States, Herlong
,AHD,Ardmore Downtown Executive,Smallairport, United States, Ardmore
NTHE,AHE,Ahe,Mediumairport, French Polynesia, Ahe Atoll
,AHF,Arapahoe Municipal,Smallairport, United States, Arapahoe
KAHH,AHH,Amery Municipal,Smallairport, United States, Amery
WAPA,AHI,Amahai,Smallairport, Indonesia, Amahai-Seram Island
ZUHY,AHJ,Hongyuan,Mediumairport, China, Aba
SYAH,AHL,Aishalton,Smallairport, Guyana, Aishalton
KS03,AHM,Ashland Municipal Sumner Parker Field,Smallairport, United States, Ashland
KAHN,AHN,Athens Ben Epps,Mediumairport, United States, Athens
LIEA,AHO,Alghero-Fertilia,Mediumairport, Italy, Alghero
MHAH,AHS,Ahuas,Smallairport, Honduras, Ahuas
,AHT,Amchitka Army Airfield,Closed, United States, Amchitka Island
GMTA,AHU,Cherif Al Idrissi,Mediumairport, Morocco, Al Hoceima
,AHY,Ambatolhy,Closed, Madagascar, Ambatolahy
LFHU,AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,Smallairport, France, L'Alpe d'Huez
KAIA,AIA,Alliance Municipal,Smallairport, United States, Alliance
,AIB,Anita Bay,Closed, United States, Anita Bay
,AIC,Ailinglaplap Airok,Closed, Marshall Islands, Bigatyelang Island
KAID,AID,Anderson Municipal Darlington Field,Smallairport, United States, Anderson
AYAO,AIE,Aiome,Smallairport, Papua New Guinea, Aiome
SNAX,AIF,Marcelo Pires Halzhausen,Smallairport, Brazil, Assis
FEFY,AIG,Yalinga,Smallairport, Central African Republic, Yalinga
AYAK,AIH,Aiambak,Smallairport, Papua New Guinea, Aiambak
HDAS,AII,Ali-Sabieh,Smallairport, Djibouti, Ali-Sabieh
KAIK,AIK,Aiken Municipal,Smallairport, United States, Aiken
,AIL,Alligandi,Smallairport, Panama, Alligandi
,AIM,Ailuk,Smallairport, Marshall Islands, Ailuk Island
PAWI,AIN,Wainwright,Mediumairport, United States, Wainwright
KAIO,AIO,Atlantic Municipal,Smallairport, United States, Atlantic
SWRP,AIR,Aripuanã,Closed, Brazil, Aripuanã
NGTR,AIS,Arorae Island,Smallairport, Kiribati, Arorae Island
NCAI,AIT,Aitutaki,Smallairport, Cook Islands, Aitutaki
NCAT,AIU,Enua,Smallairport, Cook Islands, Atiu Island
KAIV,AIV,George Downer,Smallairport, United States, Aliceville
FYAA,AIW,Ai-Ais,Smallairport, Namibia, Ai-Ais
KAIY,AIY,Atlantic City Municipal Bader Field,Closed, United States, Atlantic City
KAIZ,AIZ,Lee C Fine Memorial,Smallairport, United States, Kaiser Lake Ozark
LFKJ,AJA,Ajaccio-Napoléon Bonaparte,Mediumairport, France, Ajaccio/Napoléon Bonaparte
OESK,AJF,Al-Jawf Domestic,Mediumairport, Saudi Arabia, Al-Jawf
LTCO,AJI,Ağrı,Mediumairport, Turkey,
GQNJ,AJJ,Akjoujt,Smallairport, Mauritania, Akjoujt
OIHR,AJK,Arak,Smallairport, Iran, Araak
VELP,AJL,Lengpui,Mediumairport, India, Aizawl
FMCV,AJN,Ouani,Mediumairport, Comoros, Ouani
,AJO,Aljouf,Closed, Yemen, Aljouf
ESNX,AJR,Arvidsjaur,Mediumairport, Sweden, Arvidsjaur
,AJS,Abreojos,Smallairport, Mexico, Abreojos
SBAR,AJU,Santa Maria,Mediumairport, Brazil, Aracaju
DRZA,AJY,Mano Dayak International,Mediumairport, Niger, Agadez
ZLAK,AKA,Ankang Wulipu,Smallairport, China, Ankang
PAAK,AKB,Atka,Smallairport, United States, Atka
KAKR,AKC,Akron Fulton International,Mediumairport, United States, Akron
VAAK,AKD,Akola,Mediumairport, India,
FOGA,AKE,Akieni,Smallairport, Gabon, Akieni
HLKF,AKF,Kufra,Mediumairport, Libya, Kufra
AYGU,AKG,Anguganak,Smallairport, Papua New Guinea, Anguganak
OEPS,AKH,Prince Sultan Air Base,Mediumairport, Saudi Arabia,
PFAK,AKI,Akiak,Smallairport, United States, Akiak
RJEC,AKJ,Asahikawa,Mediumairport, Japan, Asahikawa / Hokkaidō
PAKH,AKK,Akhiok,Smallairport, United States, Akhiok
NZAA,AKL,Auckland International,Largeairport, New Zealand, Auckland
,AKM,Zakuoma,Smallairport, Chad, ZaKouma
PAKN,AKN,King Salmon,Mediumairport, United States, King Salmon
KAKO,AKO,Colorado Plains Regional,Smallairport, United States, Akron
PAKP,AKP,Anaktuvuk Pass,Mediumairport, United States, Anaktuvuk Pass
,AKQ,Gunung Batin,Smallairport, Indonesia, Astraksetra-Sumatra Island
DNAK,AKR,Akure,Mediumairport, Nigeria, Akure
AGGA,AKS,Auki,Smallairport, Solomon Islands, Auki
LCRA,AKT,RAF Akrotiri,Largeairport, Cyprus, Akrotiri
ZWAK,AKU,Aksu,Mediumairport, China, Aksu
CYKO,AKV,Akulivik,Mediumairport, Canada, Akulivik
OIAG,AKW,Aghajari,Mediumairport, Iran, Aghajari
UATT,AKX,Aktobe,Mediumairport, Kazakhstan, Aktyuinsk
VYSW,AKY,Sittwe,Mediumairport, Burma, Sittwe
UAAA,ALA,Almaty,Largeairport, Kazakhstan, Almaty
KALB,ALB,Albany International,Mediumairport, United States, Albany
LEAL,ALC,Alicante International,Largeairport, Spain, Alicante
SPAR,ALD,Alerta,Smallairport, Perú, Fortaleza
,ALE,Alpine Casparis Municipal,Smallairport, United States, Alpine
ENAT,ALF,Alta,Mediumairport, Norway, Alta
DAAG,ALG,Houari Boumediene,Largeairport, Algeria, Algiers
YABA,ALH,Albany,Mediumairport, Australia, Albany
KALI,ALI,Alice International,Mediumairport, United States, Alice
FAAB,ALJ,Alexander Bay,Mediumairport, South Africa, Alexander Bay
,ALK,Asela,Closed, Ethiopia, Asela
LIMG,ALL,Villanova D'Albenga International,Mediumairport, Italy, Albenga (SV)
KALM,ALM,Alamogordo White Sands Regional,Mediumairport, United States, Alamogordo
KALN,ALN,St Louis Regional,Mediumairport, United States, Alton/St Louis
KALO,ALO,Waterloo Regional,Mediumairport, United States, Waterloo
OSAP,ALP,Aleppo International,Largeairport, Syria, Aleppo
SSLT,ALQ,Alegrete Novo,Smallairport, Brazil, Alegrete
NZLX,ALR,Alexandra,Mediumairport, New Zealand, Alexandra
KALS,ALS,San Luis Valley Regional Bergman Field,Mediumairport, United States, Alamosa
SDWQ,ALT,Alenquer,Smallairport, Brazil, Alenquer
HCMA,ALU,Alula,Smallairport, Somalia, Alula
KALW,ALW,Walla Walla Regional,Mediumairport, United States, Walla Walla
KALX,ALX,Thomas C Russell Field,Smallairport, United States, Alexander City
HEAX,ALY,El Nouzha,Mediumairport, Egypt, Alexandria
,ALZ,Alitak,Seaplanebase, United States, Lazy Bay
KAMA,AMA,Rick Husband Amarillo International,Largeairport, United States, Amarillo
FMNE,AMB,Ambilobe,Smallairport, Madagascar,
FTTN,AMC,Am Timan,Smallairport, Chad, Am Timan
VAAH,AMD,Sardar Vallabhbhai Patel International,Mediumairport, India, Ahmedabad
,AME,Alto Molocue,Smallairport, Mozambique, Alto Molocue
AYAA,AMF,Ama,Smallairport, Papua New Guinea,
,AMG,Amboin,Closed, Papua New Guinea, Amboin
HAAM,AMH,Arba Minch,Mediumairport, Ethiopia,
WADA,AMI,Selaparang,Smallairport, Indonesia, Mataram-Lombok Island
SNAR,AMJ,Cirilo Queiróz,Smallairport, Brazil, Almenara
,AMK,Animas Air Park,Smallairport, United States, Durango
,AML,Puerto Armuelles,Closed, Panama, Puerto Armuelles
OJAI,AMM,Queen Alia International,Largeairport, Jordan, Amman
KAMN,AMN,Gratiot Community,Smallairport, United States, Alma
FTTU,AMO,Mao,Smallairport, Chad, Mao
FMSY,AMP,Ampanihy,Smallairport, Madagascar, Ampanihy
WAPP,AMQ,"Pattimura, Ambon",Mediumairport, Indonesia, Ambon
,AMR,Arno,Closed, Marshall Islands, Arno
EHAM,AMS,Amsterdam Schiphol,Largeairport, Netherlands, Amsterdam
YAMT,AMT,Amata,Smallairport, Australia,
AYAM,AMU,Amanab,Smallairport, Papua New Guinea, Amanab
ULDD,AMV,Amderma,Mediumairport, Russia, Amderma
KAMW,AMW,Ames Municipal,Smallairport, United States, Ames
YAMM,AMX,Ammaroo,Smallairport, Australia,
,AMY,Ambatomainty,Smallairport, Madagascar,
NZAR,AMZ,Ardmore,Mediumairport, New Zealand, Manurewa
,ANA,Anaheim,Closed, United States," Anaheim, CA"
KANB,ANB,Anniston Metropolitan,Mediumairport, United States, Anniston
PANC,ANC,Ted Stevens Anchorage International,Largeairport, United States, Anchorage
KAND,AND,Anderson Regional,Mediumairport, United States, Anderson
LFJR,ANE,Angers-Loire,Mediumairport, France, Angers/Marcé
SCFA,ANF,Cerro Moreno,Mediumairport, Chile, Antofagasta
LFBU,ANG,Angoulême-Brie-Champniers,Mediumairport, France, Angoulême/Brie/Champniers
,ANH,Anuha Island Resort,Closed, Solomon Islands, Anhua Island
PANI,ANI,Aniak,Mediumairport, United States, Aniak
FCBZ,ANJ,Zanaga,Smallairport, Congo (Brazzaville), Zanaga
LTAD,ANK,Etimesgut Air Base,Mediumairport, Turkey, Ankara
,ANL,Andulo,Smallairport, Angola,
FMNH,ANM,Antsirabato,Mediumairport, Madagascar,
PANT,ANN,Annette Island,Mediumairport, United States, Annette
FQAG,ANO,Angoche,Smallairport, Mozambique, Angoche
KANP,ANP,Lee,Smallairport, United States, Annapolis
KANQ,ANQ,Tri State Steuben County,Smallairport, United States, Angola
EBAW,ANR,Antwerp International (Deurne),Mediumairport, Belgium, Antwerp
SPHY,ANS,Andahuaylas,Smallairport, Perú, Andahuaylas
,ANT,St Anton,Closed, Austria, St Anton
TAPA,ANU,V.C. Bird International,Mediumairport, Antigua and Barbuda, St. George
PANV,ANV,Anvik,Mediumairport, United States, Anvik
KANW,ANW,Ainsworth Municipal,Smallairport, United States, Ainsworth
ENAN,ANX,Andøya,Mediumairport, Norway, Andenes
KANY,ANY,Anthony Municipal,Smallairport, United States, Anthony
,ANZ,Angus Downs,Closed, Australia, Angus Downs Station
,AOA,Aroa,Closed, Papua New Guinea, Agevairu
,AOB,Annanberg,Smallairport, Papua New Guinea,
EDAC,AOC,Altenburg-Nobitz,Mediumairport, Germany, Altenburg
,AOD,Abou-Deïa,Smallairport, Chad, Abou-Deïa
LTBY,AOE,Anadolu,Mediumairport, Turkey, Eskişehir
ZYAS,AOG,Anshan Air Base,Mediumairport, China, Anshan
KAOH,AOH,Lima Allen County,Smallairport, United States, Lima
LIPY,AOI,Ancona Falconara,Mediumairport, Italy, Ancona
RJSA,AOJ,Aomori,Mediumairport, Japan, Aomori
LGKP,AOK,Karpathos,Mediumairport, Greece, Karpathos Island
SARL,AOL,Paso De Los Libres,Mediumairport, Argentina, Paso de los Libres
,AOM,Adam,Smallairport, Oman, Adam
,AON,Arona,Closed, Papua New Guinea, Arona
KAOO,AOO,Altoona Blair County,Mediumairport, United States, Altoona
SPAS,AOP,Alferez FAP Alfredo Vladimir Sara Bauer,Smallairport, Perú, Andoas
WMKA,AOR,Sultan Abdul Halim,Mediumairport, Malaysia, Alor Satar
AK81,AOS,Amook Bay,Seaplanebase, United States, Amook Bay
LIMW,AOT,Aosta,Mediumairport, Italy, Aosta
VLAP,AOU,Attopeu,Smallairport, Laos, Attopeu
KAPA,APA,Centennial,Mediumairport, United States, Denver
SLAP,APB,Apolo,Smallairport, Bolivia, Apolo
KAPC,APC,Napa County,Smallairport, United States, Napa
SPAO,APE,San Juan Aposento,Smallairport, Perú, San Juan Aposento
KAPF,APF,Naples Municipal,Mediumairport, United States, Naples
KAPG,APG,Phillips Army Air Field,Mediumairport, United States, Aberdeen Proving Grounds(Aberdeen)
KAPH,APH,A P Hill AAF (Fort A P Hill),Smallairport, United States, Fort A. P. Hill
SKAP,API,Gomez Nino Apiay Air Base,Mediumairport, Colombia, Apiay
NTGD,APK,Apataki,Smallairport, French Polynesia, Apataki
FQNP,APL,Nampula,Mediumairport, Mozambique, Nampula
KAPN,APN,Alpena County Regional,Mediumairport, United States, Alpena
SKLC,APO,Antonio Roldan Betancourt,Mediumairport, Colombia, Carepa
,APO,Apartadó,Closed, Colombia, Apartadó
,APP,Asapa,Smallairport, Papua New Guinea,
SNAL,APQ,Arapiraca,Smallairport, Brazil, Arapiraca
AYPE,APR,April River,Smallairport, Papua New Guinea, April River
SWNS,APS,Anápolis,Smallairport, Brazil, Anápolis
KAPT,APT,Marion County Brown Field,Smallairport, United States, Jasper
SSAP,APU,Apucarana,Smallairport, Brazil, Apucarana
KAPV,APV,Apple Valley,Smallairport, United States, Apple Valley
NSFA,APW,Faleolo International,Mediumairport, Samoa, Apia
SSOG,APX,Arapongas,Smallairport, Brazil, Arapongas
SNAI,APY,Alto Parnaíba,Smallairport, Brazil, Alto Parnaíba
SAHZ,APZ,Zapala,Mediumairport, Argentina, Zapala
SBAQ,AQA,Araraquara,Mediumairport, Brazil, Araraquara
MGQC,AQB,Santa Cruz del Quiche,Smallairport, Guatemala, Santa Cruz del Quiche
ZSAQ,AQG,Anqing Tianzhushan,Mediumairport, China, Anqing
OEPA,AQI,Al Qaisumah/Hafr Al Batin,Mediumairport, Saudi Arabia, Qaisumah
OJAQ,AQJ,Aqaba King Hussein International,Mediumairport, Jordan, Aqaba
SWNI,AQM,Nova Vida,Smallairport, Brazil, Ariquemes
SPQU,AQP,Rodríguez Ballón International,Mediumairport, Perú, Arequipa
NFBG,AQS,Biaugunu,Closed, Fiji," Saqani, Cakaudrove"
,AQY,Girdwood,Smallairport, United States, Girdwood
KARA,ARA,Acadiana Regional,Mediumairport, United States, New Iberia
KARB,ARB,Ann Arbor Municipal,Smallairport, United States, Ann Arbor
PARC,ARC,Arctic Village,Mediumairport, United States, Arctic Village
WATM,ARD,Mali,Smallairport, Indonesia, Alor Island
TJAB,ARE,Antonio Nery Juarbe Pol,Mediumairport, Puerto Rico, Arecibo
,ARF,Acaricuara,Smallairport, Colombia, Acaricuara
KARG,ARG,Walnut Ridge Regional,Smallairport, United States, Walnut Ridge
ULAA,ARH,Talagi,Mediumairport, Russia, Archangelsk
SCAR,ARI,Chacalluta,Mediumairport, Chile, Arica
WAJA,ARJ,Arso,Smallairport, Indonesia, Arso-Papua Island
HTAR,ARK,Arusha,Mediumairport, Tanzania, Arusha
DFER,ARL,Arly,Smallairport, Burkina Faso, Arly
YARM,ARM,Armidale,Mediumairport, Australia, Armidale
ESSA,ARN,Stockholm-Arlanda,Largeairport, Sweden, Stockholm
,ARO,Arboletes,Smallairport, Colombia, Arboletes
,ARP,Aragip,Smallairport, Papua New Guinea,
SKAT,ARQ,El Troncal,Smallairport, Colombia, Arauquita
SAVR,ARR,D. Casimiro Szlapelis,Smallairport, Argentina, Alto Rio Senguerr
KART,ART,Watertown International,Mediumairport, United States, Watertown
SBAU,ARU,Araçatuba,Mediumairport, Brazil, Araçatuba
KARV,ARV,Lakeland-Noble F. Lee Memorial field,Smallairport, United States, Minocqua-Woodruff
LRAR,ARW,Arad International,Mediumairport, Romania, Arad
,ARX,Asbury Park Neptune Air Terminal,Closed, United States, Asbury Park
YARA,ARY,Ararat,Mediumairport, Australia,
FNZE,ARZ,N'zeto,Smallairport, Angola, N'zeto
HHSB,ASA,Assab International,Mediumairport, Eritrea, Asab
UTAA,ASB,Ashgabat,Mediumairport, Turkmenistan, Ashgabat
SLAS,ASC,Ascención De Guarayos,Smallairport, Bolivia, Ascensión de Guarayos
MYAF,ASD,Andros Town,Mediumairport, Bahamas,
KASE,ASE,Aspen-Pitkin Co/Sardy Field,Mediumairport, United States, Aspen
URWA,ASF,Astrakhan,Mediumairport, Russia, Astrakhan
NZAS,ASG,Ashburton Aerodrome,Smallairport, New Zealand,
KASH,ASH,Boire Field,Smallairport, United States, Nashua
FHAW,ASI,RAF Ascension Island,Mediumairport, Saint Helena, Ascension Island
RJKA,ASJ,Amami,Mediumairport, Japan, Amami
DIYO,ASK,Yamoussoukro,Mediumairport, Côte d'Ivoire, Yamoussoukro
KASL,ASL,Harrison County,Smallairport, United States, Marshall
HHAS,ASM,Asmara International,Mediumairport, Eritrea, Asmara
KASN,ASN,Talladega Municipal,Smallairport, United States, Talladega
HASO,ASO,Asosa,Mediumairport, Ethiopia, Asosa
YBAS,ASP,Alice Springs,Mediumairport, Australia, Alice Springs
KTMT,ASQ,Austin,Smallairport, United States, Austin
LTAU,ASR,Kayseri Erkilet,Mediumairport, Turkey, Kayseri
KAST,AST,Astoria Regional,Mediumairport, United States, Astoria
SGAS,ASU,Silvio Pettirossi International,Mediumairport, Paraguay, Asunción
HKAM,ASV,Amboseli,Mediumairport, Kenya, Amboseli National Park
HESN,ASW,Aswan International,Mediumairport, Egypt, Aswan
KASX,ASX,John F Kennedy Memorial,Smallairport, United States, Ashland
KASY,ASY,Ashley Municipal,Smallairport, United States, Ashley
,ASZ,Asirim,Smallairport, Papua New Guinea,
SPHZ,ATA,Comandante FAP German Arias Graziani,Mediumairport, Perú, Anta
HSAT,ATB,Atbara,Smallairport, Sudan, Atbara
MYCA,ATC,Arthur's Town,Mediumairport, Bahamas, Arthur's Town
AGAT,ATD,Uru Harbour,Smallairport, Solomon Islands, Atoifi
80F,ATE,Antlers Municipal,Smallairport, United States, Antlers
SEAM,ATF,Chachoán,Mediumairport, Ecuador, Ambato
LGAV,ATH,Eleftherios Venizelos International,Largeairport, Greece, Athens
SUAG,ATI,Artigas International,Smallairport, Uruguay, Artigas
