ICAO,IATA,NOM,TAILLE,PAYS,CITE
KEMP,EMP,Emporia Municipal,Smallairport, United States, Emporia
AYEB,EMS,Embessa,Smallairport, Papua New Guinea, Embessa
KEMT,EMT,El Monte,Smallairport, United States, El Monte
SAVD,EMX,El Maiten,Smallairport, Argentina, El Maiten
HEMN,EMY,El Minya,Smallairport, Egypt, Minya
PAEN,ENA,Kenai Municipal,Mediumairport, United States, Kenai
YEEB,ENB,Eneabba,Smallairport, Australia, Eneabba
LFSN,ENC,Nancy-Essey,Mediumairport, France, Nancy/Essey
KEND,END,Vance Air Force Base,Largeairport, United States, Enid
WATE,ENE,Ende (H Hasan Aroeboesman),Smallairport, Indonesia, Ende-Flores Island
EFET,ENF,Enontekio,Mediumairport, Finland, Enontekio
ZHES,ENH,Enshi,Smallairport, China, Enshi
,ENI,El Nido,Smallairport, Philippines, El Nido
,ENJ,El Naranjo,Closed, Guatemala, El Naranjo
EGAB,ENK,St Angelo,Mediumairport, United Kingdom, Enniskillen
PANN,ENN,Nenana Municipal,Mediumairport, United States, Nenana
SGEN,ENO,Encarnación,Smallairport, Paraguay, Encarnación
,ENQ,Coronel E Soto Cano AB,Closed, Honduras, Coronel E Soto Cano AB
EHTW,ENS,Twente,Mediumairport, Netherlands, Enschede
PKMA,ENT,Eniwetok,Smallairport, Marshall Islands, Eniwetok Atoll
DNEN,ENU,Akanu Ibiam International,Mediumairport, Nigeria, Enegu
KENV,ENV,Wendover,Mediumairport, United States, Wendover
KENW,ENW,Kenosha Regional,Mediumairport, United States, Kenosha
ZLYA,ENY,Yan'an Ershilipu,Smallairport, China, Yan'an
SKMD,EOH,Enrique Olaya Herrera,Mediumairport, Colombia, Medellín
EGED,EOI,Eday,Mediumairport, United Kingdom, Eday
KEOK,EOK,Keokuk Municipal,Smallairport, United States, Keokuk
SVED,EOR,El Dorado,Mediumairport, Venezuela, Bolivar
,EOS,Neosho,Closed, United States, Neosho
SVEZ,EOZ,Elorza,Mediumairport, Venezuela,
